"Status","Source","Output","SourceBytes","OutputBytes","SavingPercent","Message"
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_kalymnos_kalymnos_climbing_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_kalymnos_kalymnos_climbing_festival.jpg","3836245","466382","87.8",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_karditsa_plastiras_lake_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_karditsa_plastiras_lake_festival.jpg","3319743","381952","88.5",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_kastellorizo_beyond_borders_international_documentary_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_kastellorizo_beyond_borders_international_documentary_festival.jpg","3435760","402829","88.3",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_kastoria_ragoutsaria.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_kastoria_ragoutsaria.jpg","3206314","363581","88.7",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_kozani_fanoi_of_kozani_carnival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_kozani_fanoi_of_kozani_carnival.jpg","3225399","348277","89.2",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_laconia_spartathlon_finish_in_sparta.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_laconia_spartathlon_finish_in_sparta.jpg","3323634","385870","88.4",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_lasithi_agios_nikolaos_cliff_diving.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_lasithi_agios_nikolaos_cliff_diving.jpg","3618884","441263","87.8",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_lesvos_lesvos_ouzo_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_lesvos_lesvos_ouzo_festival.jpg","3516562","431133","87.7",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_magnesia_international_pelion_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_magnesia_international_pelion_festival.jpg","3563858","432922","87.9",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_messenia_kalamata_international_dance_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_messenia_kalamata_international_dance_festival.jpg","2824782","258680","90.8",""
